id_bien;No voie;B/T/Q;Type de voie;Voie;Nombre pieces principales;Surface Carrez du 1er lot;Surface reelle bati;Type local;code_dep_com
1;347;;RUE;DU CHATEAU;3;48.22;48;Appartement;01103
2;4;;BD;EDOUARD BAUDOIN;1;39.11;40;Appartement;06004
3;20;B;RUE;MARCEAU;3;80.25;82;Appartement;06088
4;550;;RTE;DES VESPINS RN7;1;27.51;27;Appartement;06123
5;9300;;RES;LES ARPEGES BD DES ABA;2;47.33;47;Appartement;13005
6;27;;RUE;DU GRAND MADIER;1;25.31;24;Appartement;13028
7;360;;AV;DU PRADO;3;70.84;70;Appartement;13208
8;5076;F;PARC;DESSUARD;3;67.19;66;Appartement;13212
9;1194;;RUE;DE NORMANDIE;1;18.89;19;Appartement;14338
10;30;;ALL;DES NOISETIERS;4;105.37;99;Maison;14366
11;11;;RUE;ROUGET DE L ISLE;2;31.99;34;Appartement;17300
12;13;;RUE;BERTHE MORISOT;5;96.21;100;Maison;25056
13;1;;RUE;DU POHER;1;30.86;31;Appartement;29232
14;2;;RUE;DES JARDINS;3;66.21;67;Appartement;29260
15;5;;AV;DU COMMANDANT TAILLANDIER;2;45.58;46;Appartement;31555
16;15;;RUE;PAUL DENUCE;1;23.2;27;Appartement;33063
17;176;;RUE;SAINTE CATHERINE;1;13.1;12;Appartement;33063
18;822;G;;LA BAYNASSE SUD;2;29.0;29;Appartement;33097
19;9;;RUE;DE BELFORT;2;51.4;51;Appartement;33449
20;183;;RUE;MARC ANTOINE MENARD;1;16.79;18;Appartement;34145
21;50;;AV;ANDRE CHASSEFIERE;2;51.4;51;Appartement;34150
22;8;;PL;DES ETATS DU LANGUEDOC;3;68.22;85;Appartement;34199
23;7;;RUE;JEAN-JACQUES ROUSSEAU;4;88.45;89;Maison;37156
24;197;;AV;DE GRAMMONT;2;42.94;46;Appartement;37261
25;48;;BD;MAL FOCH;4;76.48;77;Appartement;38185
26;210;;RTE;DU TAILLEUR;3;48.23;53;Maison;40266
27;199;;RES;MER ET GOLF-LE BOUCANIER;2;49.91;48;Appartement;40328
28;3;;ALL;JEAN PERRIN;2;46.3;45;Appartement;44143
29;12;;RUE;FERDINAND BUISSON;2;47.24;48;Appartement;44184
30;35;;AV;DE CHAMPAGNE;4;81.09;79;Appartement;51230
31;26;;RUE;MESSIER;2;39.69;39;Appartement;54395
32;5794;;;GOLF SAINT LAURENT;3;43.85;44;Appartement;56161
33;5;;RUE;DE PRUNEVEAUX;4;108.78;124;Appartement;58194
34;118;;BD;DU GENERAL DE GAULLE;3;89.84;71;Appartement;59512
35;247;;RUE;DE NOTRE DAME DU THIL;2;48.35;48;Appartement;60057
36;34;;RUE;DE LA VILLE;1;19.11;18;Appartement;60155
37;15;;SQ;JEAN BAPTISTE CLEMENT;5;97.39;97;Appartement;60159
38;84;;AV;JEAN JAURES;1;31.73;32;Appartement;60524
39;54;;RUE;DE LA BUSSIERE;2;49.89;51;Appartement;69149
40;15;;RUE;ARTAUD;1;20.02;20;Appartement;69384
41;1;;AV;D ABONDANCE;2;34.86;33;Appartement;74119
42;950;;AV;DU MONT D ARBOIS;2;39.05;39;Appartement;74236
43;110;;RTE;DE LA TELECABINE;1;18.93;20;Appartement;74238
44;2308;;AV;DES VALLEES;4;88.59;88;Appartement;74278
45;22;;BD;SAINT MARCEL;2;30.05;41;Appartement;75105
46;45;;BD;DE MAGENTA;2;32.3;32;Appartement;75110
47;14;;AV;DE LA REPUBLIQUE;4;120.28;120;Appartement;75111
48;160;;RUE;SAINT MAUR;2;17.94;28;Appartement;75111
49;11;;RUE;DU MOULIN JOLY;2;28.39;28;Appartement;75111
50;36;;RUE;ERARD;2;18.0;41;Appartement;75112
51;220;;RUE;DE CHARENTON;3;51.44;51;Appartement;75112
52;17;;RUE;D AUSTERLITZ;1;10.06;10;Appartement;75112
53;60;A;RUE;EMERIAU;4;88.3;88;Appartement;75115
54;4;;RUE;SQUARE CARPEAUX;1;23.98;18;Appartement;75118
55;36;;AV;DE CLICHY;2;53.59;39;Appartement;75118
56;68;;RUE;MARCADET;2;24.3;25;Appartement;75118
57;16;;AV;ALEXANDRE ANQUETIN;4;61.52;59;Appartement;76217
58;5;;PARC;DE LA BRESLE;3;57.27;58;Appartement;76451
59;4;;RUE;FRANCOIS LAPERT;1;23.98;25;Appartement;76655
60;5;B;RUE;DE LA SOLIDARITE;2;35.32;40;Appartement;77118
61;4;;ALL;HELENE LAZAREFF;4;89.41;89;Appartement;78350
62;1;;AV;DE DENTON;5;106.19;107;Appartement;78423
63;15;;RUE;ROBERT DESNOS;4;67.76;70;Appartement;78545
64;1;;RUE;MAL DE LATTRE DE TASSIGNY;2;40.55;40;Appartement;78545
65;53;;RUE;DE MAREIL;5;84.31;142;Appartement;78551
66;1;;RUE;MAETERLINCK;3;74.0;74;Appartement;78586
67;2;;RUE;DIVISION LECLERC;2;49.16;48;Appartement;78640
68;0;;;LES SAVELS;2;50.74;50;Appartement;83062
69;31;;AV;DE LA SABLIERE CAPTE;1;20.15;20;Appartement;83069
70;9100;;RES;LE GRAND SOLEIL;2;47.52;38;Appartement;83112
71;8;;ALL;DES PAQUERETTES;5;86.92;91;Maison;83123
72;43;;RUE;CAMPANE;2;37.24;40;Appartement;84007
73;78;;RUE;CARNOT;2;43.12;45;Appartement;85047
74;20;B;ALL;DU HAUT POITOU;1;30.42;30;Appartement;86062
75;9007;;RUE;DES DOUVES;4;71.03;75;Appartement;86194
76;14;;RUE;DU CLUZEAU;2;62.95;62;Appartement;87075
77;8;;RUE;GEORGES BELJEAN;2;43.54;43;Appartement;87085
78;2;;RUE;D ADELAIAU;5;128.34;128;Appartement;91249
79;6;;RUE;DE LA DIVISION LECLERC;2;43.42;43;Appartement;91689
80;79;;RUE;DE VARSOVIE;3;49.45;55;Appartement;92025
81;5;;BD;GEORGES CLEMENCEAU;3;62.1;65;Appartement;92026
82;32;;RUE;GEORGES THORETTON;3;59.35;59;Appartement;92036
83;74;;RUE;JULES GUESDE;2;52.85;55;Appartement;92044
84;35;;AV;SAINTE FOY;4;106.31;90;Maison;93032
85;4;;ALL;JOSEPHINE;4;77.93;77;Appartement;93051
86;129;;ALL;JULES AUFFRET;2;46.0;46;Appartement;93057
87;1;;PL;GASTON BUSSIERE;2;24.63;24;Appartement;93071
88;21;;RUE;CLAUDE BERNARD;3;67.1;67;Appartement;94044
89;18;;RUE;DE PROVENCE;4;80.0;66;Maison;94060
90;4;;RUE;DU CLOS SAINT NICOLAS;2;48.02;49;Appartement;94060
91;7;;RUE;DE L EGALITE;1;16.37;17;Appartement;94080
92;16;;RUE;DE LA FOSSE AUX BICHES;4;72.53;69;Appartement;95252
93;57;;ALL;DU VEXIN;5;90.07;93;Maison;95388
94;9004;;RES;LES LIGNIERES;3;57.1;56;Appartement;95607
95;9;;RUE;NEUVE;1;41.82;47;Appartement;01262
96;27;;RUE;FERNAND THUILLART;6;165.11;156;Appartement;02408
97;2;;RUE;DENAIN;3;124.01;77;Appartement;03190
98;7052;;RES;LES CHENEVRIERS;1;24.32;25;Appartement;04073
99;7102;;PL;DE L ENGIEN;4;106.43;133;Appartement;04166
100;9002;;PL;DU DOCTEUR ROBERT;1;32.89;33;Appartement;04209
101;15;;AV;NIQUET;2;37.66;41;Appartement;06004
102;7;;CHE;DE SAINT LAURENT;3;58.42;58;Appartement;06027
103;8;;RUE;ROSSINI;4;99.04;98;Appartement;06088
104;27;;RUE;LAMARTINE;3;30.2;95;Appartement;06088
105;4;;AV;VALROSE;3;68.75;68;Appartement;06088
106;15;B;AV;VICTOR CAUVIN;2;56.05;58;Appartement;06159
107;5;;IMP;DU CHANT DE L ALOUETTE;3;55.5;52;Appartement;10323
108;5279;F;RUE;DU 14 JUILLET;3;53.09;51;Appartement;13119
109;55;;RUE;FRANCIS DAVSO;2;48.24;50;Appartement;13201
110;9;;RUE;BOSCARY;1;28.4;30;Appartement;13204
111;9;;RUE;CRUDERE;3;51.01;51;Appartement;13206
112;13;;BD;GUSTAVE GANAY;3;51.54;52;Appartement;13209
113;4;;RUE;AUX NAMPS;2;34.83;59;Appartement;14118
114;1;;RUE;PESTEL;1;12.44;13;Appartement;14333
115;1;;AV;P CASSAGNAVERE;2;53.76;53;Appartement;14715
116;1;;RUE;CHARLES KOECHLIN;2;52.82;32;Maison;14754
117;66;;AV;DENFERT ROCHEREAU;1;32.18;33;Appartement;17300
118;6;;RUE;DES MENDRIES;3;49.9;50;Maison;17414
119;5;;RES;DE LA HAUTE RIVE;4;68.3;67;Appartement;22113
120;33;;RUE;ANATOLE LE BRAZ;2;54.42;57;Appartement;22168
121;16;H;BD;DE L ATLANTIQUE;4;64.0;64;Appartement;22278
122;19;;AV;DAUMESNIL;1;31.05;33;Appartement;24322
123;850;;CHE;DES GOUILLOTTES;5;127.96;147;Appartement;25527
