code_dep_com;COM;Code postal;PTOT;CODDEP
01001;L'Abergement-Clémenciat;00000;798;01
01002;L'Abergement-de-Varey;00000;257;01
01004;Ambérieu-en-Bugey;01500;14514;01
01005;Ambérieux-en-Dombes;00000;1776;01
01006;Ambléon;00000;118;01
01007;Ambronay;00000;2915;01
01008;Ambutrix;00000;777;01
01009;Andert-et-Condon;00000;335;01
01010;Anglefort;00000;1122;01
01011;Apremont;00000;379;01
01012;Aranc;00000;333;01
01013;Arandas;00000;147;01
01014;Arbent;01100;3442;01
01015;Arboys en Bugey;00000;667;01
01016;Arbigny;00000;469;01
01017;Argis;00000;473;01
01019;Armix;00000;31;01
01021;Ars-sur-Formans;00000;1485;01
01022;Artemare;00000;1267;01
01023;Asnières-sur-Saône;00000;76;01
01024;Attignat;00000;3316;01
01025;Bâgé-Dommartin;00000;4171;01
01026;Bâgé-le-Châtel;00000;1041;01
01027;Balan;00000;2615;01
01028;Baneins;00000;634;01
01029;Beaupont;00000;693;01
01030;Beauregard;01480;844;01
01031;Bellignat;01100;3886;01
01032;Béligneux;00000;3405;01
01033;Valserhône;01200;16728;01
01034;Belley;01300;9582;01
01035;Belleydoux;00000;318;01
01036;Valromey-sur-Séran;00000;1345;01
01037;Bénonces;00000;312;01
01038;Bény;00000;775;01
01039;Béon;00000;451;01
01040;Béréziat;00000;496;01
01041;Bettant;00000;769;01
01042;Bey;00000;305;01
01043;Beynost;00000;4867;01
01044;Billiat;00000;648;01
01045;Birieux;00000;287;01
01046;Biziat;00000;903;01
01047;Blyes;00000;1214;01
01049;La Boisse;00000;3356;01
01050;Boissey;00000;369;01
01051;Bolozon;00000;92;01
01052;Bouligneux;00000;334;01
01053;Bourg-en-Bresse;00000;42853;01
01054;Bourg-Saint-Christophe;00000;1489;01
01056;Boyeux-Saint-Jérôme;00000;354;01
01057;Boz;00000;535;01
01058;Brégnier-Cordon;00000;849;01
01060;Brénod;01110;514;01
01061;Brens;00000;1179;01
01062;Bressolles;00000;956;01
01063;Brion;00000;540;01
01064;Briord;00000;1090;01
01065;Buellas;00000;1876;01
01066;La Burbanche;00000;90;01
01067;Ceignes;00000;268;01
01068;Cerdon;00000;790;01
01069;Certines;00000;1542;01
01071;Cessy;01170;4925;01
01072;Ceyzériat;00000;3256;01
01073;Ceyzérieu;00000;1025;01
01074;Chalamont;00000;2624;01
01075;Chaleins;00000;1413;01
01076;Chaley;00000;128;01
01077;Challes-la-Montagne;00000;199;01
01078;Challex;00000;1590;01
01079;Champagne-en-Valromey;01260;842;01
01080;Champdor-Corcelles;00000;657;01
01081;Champfromier;00000;756;01
01082;Chanay;00000;642;01
01083;Chaneins;00000;944;01
01084;Chanoz-Châtenay;00000;913;01
01085;La Chapelle-du-Châtelard;00000;405;01
01087;Charix;00000;292;01
01088;Charnoz-sur-Ain;00000;930;01
01089;Château-Gaillard;00000;2303;01
01090;Châtenay;00000;362;01
01092;Châtillon-la-Palud;00000;1662;01
01093;Châtillon-sur-Chalaronne;00000;5134;01
01094;Chavannes-sur-Reyssouze;00000;773;01
01095;Nivigne et Suran;00000;865;01
01096;Chaveyriat;00000;1064;01
01098;Chazey-Bons;00000;1195;01
01099;Chazey-sur-Ain;00000;1623;01
01100;Cheignieu-la-Balme;00000;135;01
01101;Chevillard;00000;159;01
01102;Chevroux;00000;976;01
01103;Chevry;01170;2196;01
01104;Chézery-Forens;00000;471;01
01105;Civrieux;00000;1882;01
01106;Cize;00000;186;01
01107;Cleyzieu;00000;137;01
01108;Coligny;00000;1200;01
01109;Collonges;01550;2272;01
01110;Colomieu;00000;158;01
01111;Conand;00000;133;01
01112;Condamine;00000;462;01
01113;Condeissiat;00000;829;01
01114;Confort;00000;679;01
01115;Confrançon;00000;1363;01
01116;Contrevoz;00000;510;01
01117;Conzieu;00000;153;01
01118;Corbonod;00000;1310;01
01121;Corlier;00000;117;01
01123;Cormoranche-sur-Saône;00000;1197;01
01124;Cormoz;00000;697;01
01125;Corveissiat;00000;625;01
01127;Courmangoux;00000;516;01
01128;Courtes;00000;306;01
01129;Crans;00000;297;01
01130;Bresse Vallons;00000;2407;01
01133;Cressin-Rochefort;00000;400;01
01134;Crottet;00000;1803;01
01135;Crozet;01170;2235;01
01136;Cruzilles-lès-Mépillat;00000;913;01
01138;Culoz;01350;3068;01
01139;Curciat-Dongalon;00000;449;01
01140;Curtafond;00000;786;01
01141;Cuzieu;00000;468;01
01142;Dagneux;01120;4834;01
01143;Divonne-les-Bains;01220;10190;01
01145;Dompierre-sur-Veyle;00000;1201;01
01146;Dompierre-sur-Chalaronne;00000;439;01
01147;Domsure;00000;495;01
01148;Dortan;01590;1925;01
01149;Douvres;00000;1104;01
01150;Drom;00000;219;01
01151;Druillat;00000;1173;01
01152;Echallon;00000;768;01
01153;Echenevex;01170;2189;01
01155;Evosges;00000;147;01
01156;Faramans;00000;827;01
01157;Fareins;00000;2292;01
01158;Farges;01550;1065;01
01159;Feillens;00000;3436;01
01160;Ferney-Voltaire;01210;10189;01
01162;Flaxieu;00000;68;01
01163;Foissiat;00000;2073;01
01165;Francheleins;00000;1627;01
01166;Frans;00000;2484;01
01167;Garnerans;00000;658;01
01169;Genouilleux;00000;663;01
01170;Béard-Géovreissiat;00000;1081;01
01171;Géovreisset;00000;886;01
01173;Gex;01170;13391;01
01174;Giron;00000;180;01
01175;Gorrevod;00000;807;01
01177;Grand-Corent;00000;189;01
01179;Grièges;00000;1933;01
01180;Grilly;00000;860;01
01181;Groissiat;00000;1291;01
01183;Guéreins;00000;1508;01
01184;Hautecourt-Romanèche;00000;789;01
01185;Plateau d'Hauteville;01110;5020;01
01187;Haut Valromey;01260;639;01
01188;Illiat;00000;683;01
01189;Injoux-Génissiat;00000;1141;01
01190;Innimond;00000;90;01
01191;Izenave;00000;158;01
01192;Izernore;01580;2338;01
01193;Izieu;00000;229;01
01194;Jassans-Riottier;01480;6439;01
01195;Jasseron;00000;1837;01
01196;Jayat;00000;1239;01
01197;Journans;00000;364;01
01198;Joyeux;00000;271;01
01199;Jujurieux;01640;2183;01
01200;Labalme;00000;219;01
01202;Lagnieu;01150;7308;01
01203;Laiz;00000;1355;01
01204;Le Poizat-Lalleyriat;01130;750;01
01206;Lantenay;00000;283;01
01207;Lapeyrouse;00000;329;01
01208;Lavours;00000;135;01
01209;Léaz;00000;794;01
01210;Lélex;01410;232;01
01211;Lent;00000;1430;01
01212;Lescheroux;00000;727;01
01213;Leyment;00000;1370;01
01214;Leyssard;00000;164;01
01215;Surjoux-Lhopital;00000;143;01
01216;Lhuis;00000;915;01
01219;Lompnas;00000;167;01
01224;Loyettes;01360;3256;01
01225;Lurcy;00000;380;01
01227;Magnieu;00000;657;01
01228;Maillat;00000;674;01
01229;Malafretaz;00000;1259;01
01230;Mantenay-Montlin;00000;319;01
01231;Manziat;00000;1996;01
01232;Marboz;00000;2323;01
01233;Marchamp;00000;133;01
01234;Marignieu;00000;172;01
01235;Marlieux;00000;1246;01
01236;Marsonnas;00000;1040;01
01237;Martignat;00000;1732;01
01238;Massieux;00000;2726;01
01239;Massignieu-de-Rives;00000;634;01
01240;Matafelon-Granges;01580;643;01
01241;Meillonnas;00000;1390;01
01242;Mérignat;00000;137;01
01243;Messimy-sur-Saône;00000;1288;01
01244;Meximieux;01800;8062;01
01245;Bohas-Meyriat-Rignat;00000;964;01
01246;Mézériat;00000;2253;01
01247;Mijoux;01410;326;01
01248;Mionnay;01390;2251;01
01249;Miribel;00000;10273;01
01250;Misérieux;00000;2226;01
01252;Mogneneins;00000;808;01
01254;Montagnat;00000;2167;01
01255;Montagnieu;00000;659;01
01257;Montanges;00000;361;01
01258;Montceaux;01090;1222;01
01259;Montcet;00000;718;01
01260;Le Montellier;00000;307;01
01261;Monthieux;00000;691;01
01262;Montluel;01120;6969;01
01263;Montmerle-sur-Saône;00000;3859;01
01264;Montracol;00000;1036;01
