id_vente;Date mutation;Valeur fonciere;Nature mutation;id_bien
1;2020-01-02;165000;Vente;1
2;2020-01-02;355680;Vente;2
3;2020-01-02;229500;Vente;3
4;2020-01-02;125000;Vente;4
5;2020-01-02;90000;Vente;5
6;2020-01-02;93000;Vente;6
7;2020-01-02;298100;Vente;7
8;2020-01-02;163500;Vente;8
9;2020-01-02;53000;Vente;9
10;2020-01-02;136000;Vente;10
11;2020-01-02;125900;Vente;11
12;2020-01-02;234000;Vente;12
13;2020-01-02;46210;Vente;13
14;2020-01-02;129000;Vente;14
15;2020-01-02;122500;Vente;15
16;2020-01-02;86025;Vente;16
17;2020-01-02;79000;Vente;17
18;2020-01-02;81795;Vente;18
19;2020-01-02;156000;Vente;19
20;2020-01-02;139900;Vente;20
21;2020-01-02;163870;Vente;21
22;2020-01-02;108100;Vente;22
23;2020-01-02;205000;Vente;23
24;2020-01-02;94000;Vente;24
25;2020-01-02;149500;Vente;25
26;2020-01-02;111500;Vente;26
27;2020-01-02;140000;Vente;27
28;2020-01-02;122850;Vente;28
29;2020-01-02;135850;Vente;29
30;2020-01-02;135500;Vente;30
31;2020-01-02;71250;Vente;31
32;2020-01-02;107000;Vente;32
33;2020-01-02;148400;Vente;33
34;2020-01-02;132000;Vente;34
35;2020-01-02;107194;Vente;35
36;2020-01-02;57200;Vente;36
37;2020-01-02;124770;Vente;37
38;2020-01-02;67000;Vente;38
39;2020-01-02;150830;Vente;39
40;2020-01-02;68900;Vente;40
41;2020-01-02;120000;Vente;41
42;2020-01-02;135460;Vente;42
43;2020-01-02;62000;Vente;43
44;2020-01-02;281000;Vente;44
45;2020-01-02;357000;Vente;45
46;2020-01-02;374000;Vente;46
47;2020-01-02;1147650;Vente;47
48;2020-01-02;145000;Vente;48
49;2020-01-02;324120;Vente;49
50;2020-01-02;408220;Vente;50
51;2020-01-02;582670;Vente;51
52;2020-01-02;80000;Vente;52
53;2020-01-02;840250;Vente;53
54;2020-01-02;266000;Vente;54
55;2020-01-02;473000;Vente;55
56;2020-01-02;207200;Vente;56
57;2020-01-02;49000;Vente;57
58;2020-01-02;101250;Vente;58
59;2020-01-02;35000;Vente;59
60;2020-01-02;132000;Vente;60
61;2020-01-02;472950;Vente;61
62;2020-01-02;478161;Vente;62
63;2020-01-02;153700;Vente;63
64;2020-01-02;155800;Vente;64
65;2020-01-02;624000;Vente;65
66;2020-01-02;135700;Vente;66
67;2020-01-02;196000;Vente;67
68;2020-01-02;172850;Vente;68
69;2020-01-02;120500;Vente;69
70;2020-01-02;224000;Vente;70
71;2020-01-02;367000;Vente;71
72;2020-01-02;132840;Vente;72
73;2020-01-02;78500;Vente;73
74;2020-01-02;72000;Vente;74
75;2020-01-02;107100;Vente;75
76;2020-01-02;134000;Vente;76
77;2020-01-02;68181;Vente;77
78;2020-01-02;275900;Vente;78
79;2020-01-02;160000;Vente;79
80;2020-01-02;267740;Vente;80
81;2020-01-02;395300;Vente;81
82;2020-01-02;269000;Vente;82
83;2020-01-02;406400;Vente;83
84;2020-01-02;326500;Vente;84
85;2020-01-02;275050;Vente;85
86;2020-01-02;138000;Vente;86
87;2020-01-02;65000;Vente;87
88;2020-01-02;185750;Vente;88
89;2020-01-02;235000;Vente;89
90;2020-01-02;176000;Vente;90
91;2020-01-02;140000;Vente;91
92;2020-01-02;170950;Vente;92
93;2020-01-02;265000;Vente;93
94;2020-01-02;112000;Vente;94
95;2020-01-03;102000;Vente;95
96;2020-01-03;142000;Vente;96
97;2020-01-03;164000;Vente;97
98;2020-01-03;33880;Vente;98
99;2020-01-03;71000;Vente;99
100;2020-01-03;43000;Vente;100
101;2020-01-03;181875;Vente;101
102;2020-01-03;240250;Vente;102
103;2020-01-03;616900;Vente;103
104;2020-01-03;212550;Vente;104
105;2020-01-03;317800;Vente;105
106;2020-01-03;420000;Vente;106
107;2020-01-03;44000;Vente;107
108;2020-01-03;237720;Vente;108
109;2020-01-03;146000;Vente;109
110;2020-01-03;69350;Vente;110
111;2020-01-03;121000;Vente;111
112;2020-01-03;70000;Vente;112
113;2020-01-03;145000;Vente;113
114;2020-01-03;43000;Vente;114
115;2020-01-03;210800;Vente;115
116;2020-01-03;210000;Vente;116
117;2020-01-03;96000;Vente;117
118;2020-01-03;135000;Vente;118
119;2020-01-03;37000;Vente;119
120;2020-01-03;190000;Vente;120
121;2020-01-03;39450;Vente;121
122;2020-01-03;28500;Vente;122
123;2020-01-03;158800;Vente;123
124;2020-01-03;268800;Vente;124
125;2020-01-03;96450;Vente;125
126;2020-01-03;28000;Vente;126
127;2020-01-03;73470;Vente;127
128;2020-01-03;49500;Vente;128
129;2020-01-03;67000;Vente;129
130;2020-01-03;176000;Vente;130
131;2020-01-03;278300;Vente;131
132;2020-01-03;296651;Vente;132
133;2020-01-03;159500;Vente;133
134;2020-01-03;98545;Vente;134
135;2020-01-03;98200;Vente;135
